Bank Code,Bank Name,BIC
7931,Australia and New Zealand Banking Group,ANZBSGSXXXX
7047,Bangkok Bank Public Company Limited,BKKBSGSGXXX
7065,Bank of America, National Association,BOFASG2XXXX
7083,Bank of China Limited,BKCHSGSGXXX
7092,Bank of East Asia,BEASSGSGXXX
7108,Bank of India,BKIDSGSGXXX
7126,Bank of Tokyo-Mitsubishi UFJ,BOTKSGSXXXX
7418,BNP Paribas,BNPASGSGXXX
9353,Chinatrust Commercial Bank Co. Ltd,CTCBSGSGXXX
7986,CIMB Bank Berhad,CIBBSGSGXXX
7214,Citibank NA Singapore Branch,CITISGSGXXX
9201,Citibank Singapore Limited,CITISGSLXXX
8606,Commerzbank Aktiengesellschaft,COBASGSXXXX
7135,Crédit Agricole Corporate And Investment Bank,CRLYSGSGXXX
7171,DBS Bank Ltd,DBSSSGSGXXX
7463,Deutsche Bank AG,DEUTSGSGXXX
7737,DnB Bank ASA,DNBASGSGXXX
7764,First Commercial Bank,FCBKSGSGXXX
7287,HL Bank,HLBBSGSGXXX
7232,Hongkong and Shanghai Banking Corporation Limited, Singapore Branch,HSBCSGSGXXX
9548,HSBC Bank (Singapore) Ltd,HSBCSGS2XXX
9186,ICICI Bank Limited,ICICSGSGXXX
7241,Indian Bank,IDIBSGSGXXX
7250,Indian Overseas Bank,IOBASGSGXXX
8712,Industrial & Commercial Bank Of China,ICBKSGSGXXX
8350,Intesa Sanpaolo SpA,BCITSGSGXXX
7153,JPMorgan Chase Bank, N.A.,CHASSGSGXXX
7490,Korea Exchange Bank,KOEXSGSGXXX
9636,Malayan Banking Berhad,MBBESGSGXXX
7302,Maybank Singapore Limited,MBBESGS2XXX
7621,Mizuho Bank Limited,MHCBSGSGXXX
8077,National Australia Bank Ltd,NATASGSGXXX
8518,Nordea Bank AB,NDEASGSGXXX
7339,Oversea-Chinese Banking Corporation Ltd,OCBCSGSGXXX
7056,PT Bank Negara Indonesia (Persero) TBK,BNINSGSGXXX
9326,Qatar National Bank SAQ,QNBASGSGXXX
7366,RHB Bank Berhad,RHBBSGSGXXX
8527,Skandinaviska Enskilda Banken AB,ESSESGSGXXX
7852,Societe Generale,SOGESGSGXXX
9496,Standard Chartered Bank, (Singapore) Limited,SCBLSG22XXX
7791,State Bank Of India,SBINSGSGXXX
7472,Sumitomo Mitsui Banking Corporation,SMBCSGSGXXX
8493,Svenska Handelsbanken AB,HANDSGSGXXX
7685,UBS AG,UBSWSGSGXXX
7357,UCO Bank,UCBASGSGXXX
8855,UniCredit Bank AG,BVBESGSGXXX
7375,United Overseas Bank Ltd,UOVBSGSGXXX
