ITEM CODE,"ITEM NAME 
(BRAND/MODEL)","ASSET NAME
(ASSET DESCRIPTION)"
"2MVA Oil-Type Transformer 1
22kV/400V, ONAN, DYN11","Fuji Electric",OIL TRANSFORMER 1
"2MVA Oil-Type Transformer 2
22kV/400V, ONAN, DYN11","Fuji Electric",OIL TRANSFORMER 2
"2MVA Oil-Type Transformer 3
22kV/400V, ONAN, DYN11","Fuji Electric",OIL TRANSFORMER 3
22KV HT Switchgear - Transformer No.1 Feeder (2MVA) - JO1,"Schneider Electric",SWG - J01
"22KV HT Switchgear
Transformer No.2 Feeder (2MVA) - J02","Schneider Electric",SWG - J02
"22KV HT Switchgear
SPPG Incoming Feeder No.1 - J03","Schneider Electric",SWG - J03
"22KV HT Switchgear
630A VCB Coupler - J04","Schneider Electric",SWG - J04
"22KV HT Switchgear
SPPG Incoming Feeder No.2 - J05","Schneider Electric",SWG - J05
"22KV HT Switchgear
Transformer No.3 Feeder (2MVA) - J06","Schneider Electric",SWG - J06
"22KV HT Switchgear
Battery Charger","Schneider Electric",BATTERY CHARGER
"22KV HT Switchgear
Switchgear Breaker Control Panel","Schneider Electric",CONTROL PANEL
LT Main Switchboard 1,"Syntech",MSB -1
LT Main Switchboard 2,"Syntech",MSB -2
LT Main Switchboard 3,"Syntech",MSB -3
LT Emergency Main Switchboard,"Syntech",EMSB
"MSB 1-1
L5 MCC-CHILLER","Syntech",MCC-CHILLER
"MSB 1-3
L1 DB CH 1-1 (300A TPN)","Syntech",300A DB CH 1-1
"MSB 1-4
L1 DB CH 2-1 (300A TPN)","Syntech",300A DB CH 2-1
"MSB 1-5
L1 DB CH 3-1 (300A TPN)","Syntech",300A DB CH 3-1
"MSB 1-6
L1 DB CH 4-1 (300A TPN)","Syntech",300A DB CH 4-1
"MSB 1-7
L5 DB AHU (500A TPN)","Syntech",500A DB AHU
"MSB 1-8
L1 DB LP-1 (30A TPN)","Syntech",32A DB LP 1
"MSB 1-8
L2 DB LP-2 (30A TPN)","Syntech",32A DB LP 2
"MSB 1-8
L3 DB LP-3 (30A TPN)","Syntech",32A DB LP 3
"MSB 1-8
L4 DB LP-4 (30A TPN)","Syntech",32A DB LP 4
